Entry	Protein names	Length	Helix	Beta strand	Interacts with
A0A0C5B5G6	Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)	16			
A0A1B0GTW7	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	788			
A0JNW5	Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)	1464			
A0JP26	POTE ankyrin domain family member B3	581			Q08AG9; O95995; Q9BYQ6; Q9BYR2; P26371; Q9BYQ4; Q8N5G2; Q5T6S3
A0PK11	Clarin-2	232			Q8N6S5; O00501; Q9UHP7-3; Q8TBE3; P26715; Q8N386; O14524-2; Q9Y3P8; Q8WWF3; P27105; Q8N6K0; Q9H7M9
A1A4S6	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	786	HELIX 780..782; /evidence="ECO:0007829|PDB:2MIO"	STRAND 728..730; /evidence="ECO:0007829|PDB:2MIO"; STRAND 732..737; /evidence="ECO:0007829|PDB:2MIO"; STRAND 743..746; /evidence="ECO:0007829|PDB:2MIO"; STRAND 754..760; /evidence="ECO:0007829|PDB:2MIO"; STRAND 766..771; /evidence="ECO:0007829|PDB:2MIO"; STRAND 774..779; /evidence="ECO:0007829|PDB:2MIO"; STRAND 783..785; /evidence="ECO:0007829|PDB:2MIO"	Q9UNA1; Q6P5Z2
A1A519	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	330			
A1L190	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)	88			Q9UL45; Q96CS2; P42858; O14901; Q5XKE5; Q9BVL2; Q16512; P60891; Q96ES7; O76024
A1L3X0	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	281	HELIX 17..20; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 23..25; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 35..49; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 51..56; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 65..88; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 108..126; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 129..136; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 140..142; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 145..164; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 168..171; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 172..192; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 195..198; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 204..227; /evidence="ECO:0007829|PDB:6Y7F"; HELIX 237..260; /evidence="ECO:0007829|PDB:6Y7F"	STRAND 97..99; /evidence="ECO:0007829|PDB:6Y7F"	Q9UHX3; Q96EV8; P54852; O75427; Q5QGT7; O75920; Q8IVJ1; P57105; Q9P0S9; Q8N2K1; P23763-3
A1X283	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	911			
